No,Property, Expected Type
1,associatedArticle,"NewsArticle,"
2,bitrate,"Text,"
3,contentSize,"Text,"
4,contentUrl,"URL,"
5,duration,"Duration,"
6,embedUrl,"URL,"
7,encodesCreativeWork,"CreativeWork,"
8,encodingFormat,"Text,"
9,height,"Distance,QuantitativeValue,"
10,playerType,"Text,"
11,productionCompany,"Organization,"
12,regionsAllowed,"Place,"
13,requiresSubscription,"Boolean,"
14,uploadDate,"Date,"
15,width,"Distance,QuantitativeValue,"
