No,Class Name, Parent
505,ElectronicsStore,"Thing,Organization,LocalBusiness,Store,"
506,Florist,"Thing,Organization,LocalBusiness,Store,"
507,FurnitureStore,"Thing,Organization,LocalBusiness,Store,"
508,GardenStore,"Thing,Organization,LocalBusiness,Store,"
509,GroceryStore,"Thing,Organization,LocalBusiness,Store,"
510,HardwareStore,"Thing,Organization,LocalBusiness,Store,"
511,HobbyShop,"Thing,Organization,LocalBusiness,Store,"
512,HomeGoodsStore,"Thing,Organization,LocalBusiness,Store,"
513,JewelryStore,"Thing,Organization,LocalBusiness,Store,"
514,LiquorStore,"Thing,Organization,LocalBusiness,Store,"
515,MensClothingStore,"Thing,Organization,LocalBusiness,Store,"
516,MobilePhoneStore,"Thing,Organization,LocalBusiness,Store,"
517,MovieRentalStore,"Thing,Organization,LocalBusiness,Store,"
518,MusicStore,"Thing,Organization,LocalBusiness,Store,"
519,OfficeEquipmentStore,"Thing,Organization,LocalBusiness,Store,"
520,OutletStore,"Thing,Organization,LocalBusiness,Store,"
521,PawnShop,"Thing,Organization,LocalBusiness,Store,"
522,PetStore,"Thing,Organization,LocalBusiness,Store,"
523,ShoeStore,"Thing,Organization,LocalBusiness,Store,"
524,SportingGoodsStore,"Thing,Organization,LocalBusiness,Store,"
525,TireShop,"Thing,Organization,LocalBusiness,Store,"
526,ToyStore,"Thing,Organization,LocalBusiness,Store,"
527,WholesaleStore,"Thing,Organization,LocalBusiness,Store,"
528,TelevisionStation,"Thing,Organization,LocalBusiness,"
529,TouristInformationCenter,"Thing,Organization,LocalBusiness,"
530,TravelAgency,"Thing,Organization,LocalBusiness,"
531,Dentist,"Thing,Organization,MedicalOrganization,"
532,Hospital,"Thing,Organization,MedicalOrganization,"
533,Pharmacy,"Thing,Organization,MedicalOrganization,"
534,Physician,"Thing,Organization,MedicalOrganization,"
535,NGO,"Thing,Organization,"
536,DanceGroup,"Thing,Organization,PerformingGroup,"
537,MusicGroup,"Thing,Organization,PerformingGroup,"
538,TheaterGroup,"Thing,Organization,PerformingGroup,"
539,SportsTeam,"Thing,Organization,SportsOrganization,"
540,Apartment,"Thing,Place,Accommodation,"
541,CampingPitch,"Thing,Place,Accommodation,"
542,SingleFamilyResidence,"Thing,Place,Accommodation,House,"
543,HotelRoom,"Thing,Place,Accommodation,Room,"
544,MeetingRoom,"Thing,Place,Accommodation,Room,"
545,Suite,"Thing,Place,Accommodation,"
546,City,"Thing,Place,AdministrativeArea,"
547,Country,"Thing,Place,AdministrativeArea,"
548,State,"Thing,Place,AdministrativeArea,"
549,Airport,"Thing,Place,CivicStructure,"
550,Aquarium,"Thing,Place,CivicStructure,"
551,Beach,"Thing,Place,CivicStructure,"
552,Bridge,"Thing,Place,CivicStructure,"
553,BusStation,"Thing,Place,CivicStructure,"
554,BusStop,"Thing,Place,CivicStructure,"
555,Campground,"Thing,Place,CivicStructure,"
556,Cemetery,"Thing,Place,CivicStructure,"
557,Crematorium,"Thing,Place,CivicStructure,"
558,EventVenue,"Thing,Place,CivicStructure,"
559,FireStation,"Thing,Place,CivicStructure,"
560,CityHall,"Thing,Place,CivicStructure,GovernmentBuilding,"
561,Courthouse,"Thing,Place,CivicStructure,GovernmentBuilding,"
562,DefenceEstablishment,"Thing,Place,CivicStructure,GovernmentBuilding,"
563,Embassy,"Thing,Place,CivicStructure,GovernmentBuilding,"
564,LegislativeBuilding,"Thing,Place,CivicStructure,GovernmentBuilding,"
565,Hospital,"Thing,Place,CivicStructure,"
566,MovieTheater,"Thing,Place,CivicStructure,"
567,Museum,"Thing,Place,CivicStructure,"
568,MusicVenue,"Thing,Place,CivicStructure,"
569,Park,"Thing,Place,CivicStructure,"
570,ParkingFacility,"Thing,Place,CivicStructure,"
571,PerformingArtsTheater,"Thing,Place,CivicStructure,"
572,BuddhistTemple,"Thing,Place,CivicStructure,PlaceOfWorship,"
573,CatholicChurch,"Thing,Place,CivicStructure,PlaceOfWorship,"
574,Church,"Thing,Place,CivicStructure,PlaceOfWorship,"
575,HinduTemple,"Thing,Place,CivicStructure,PlaceOfWorship,"
576,Mosque,"Thing,Place,CivicStructure,PlaceOfWorship,"
577,Synagogue,"Thing,Place,CivicStructure,PlaceOfWorship,"
578,Playground,"Thing,Place,CivicStructure,"
579,PoliceStation,"Thing,Place,CivicStructure,"
580,RVPark,"Thing,Place,CivicStructure,"
581,StadiumOrArena,"Thing,Place,CivicStructure,"
582,SubwayStation,"Thing,Place,CivicStructure,"
583,TaxiStand,"Thing,Place,CivicStructure,"
584,TrainStation,"Thing,Place,CivicStructure,"
585,Zoo,"Thing,Place,CivicStructure,"
586,Canal,"Thing,Place,Landform,BodyOfWater,"
587,LakeBodyOfWater,"Thing,Place,Landform,BodyOfWater,"
588,OceanBodyOfWater,"Thing,Place,Landform,BodyOfWater,"
589,Pond,"Thing,Place,Landform,BodyOfWater,"
590,Reservoir,"Thing,Place,Landform,BodyOfWater,"
591,RiverBodyOfWater,"Thing,Place,Landform,BodyOfWater,"
592,SeaBodyOfWater,"Thing,Place,Landform,BodyOfWater,"
593,Waterfall,"Thing,Place,Landform,BodyOfWater,"
594,Continent,"Thing,Place,Landform,"
595,Mountain,"Thing,Place,Landform,"
596,Volcano,"Thing,Place,Landform,"
597,LandmarksOrHistoricalBuildings,"Thing,Place,"
598,ApartmentComplex,"Thing,Place,Residence,"
599,GatedResidenceCommunity,"Thing,Place,Residence,"
600,TouristAttraction,"Thing,Place,"
601,IndividualProduct,"Thing,Product,"
602,ProductModel,"Thing,Product,"
603,SomeProducts,"Thing,Product,"
604,Car,"Thing,Product,Vehicle,"
