No,Class Name, Parent
135,ReviewAction,"Thing,Action,AssessAction,"
136,DrinkAction,"Thing,Action,ConsumeAction,"
137,EatAction,"Thing,Action,ConsumeAction,"
138,InstallAction,"Thing,Action,ConsumeAction,"
139,ListenAction,"Thing,Action,ConsumeAction,"
140,ReadAction,"Thing,Action,ConsumeAction,"
141,WearAction,"Thing,Action,ConsumeAction,UseAction,"
142,ViewAction,"Thing,Action,ConsumeAction,"
143,WatchAction,"Thing,Action,ConsumeAction,"
144,ActivateAction,"Thing,Action,ControlAction,"
145,DeactivateAction,"Thing,Action,ControlAction,"
146,ResumeAction,"Thing,Action,ControlAction,"
147,SuspendAction,"Thing,Action,ControlAction,"
148,CookAction,"Thing,Action,CreateAction,"
149,DrawAction,"Thing,Action,CreateAction,"
150,FilmAction,"Thing,Action,CreateAction,"
151,PaintAction,"Thing,Action,CreateAction,"
152,PhotographAction,"Thing,Action,CreateAction,"
153,WriteAction,"Thing,Action,CreateAction,"
154,CheckAction,"Thing,Action,FindAction,"
155,DiscoverAction,"Thing,Action,FindAction,"
156,TrackAction,"Thing,Action,FindAction,"
157,BefriendAction,"Thing,Action,InteractAction,"
158,AskAction,"Thing,Action,InteractAction,CommunicateAction,"
159,CheckInAction,"Thing,Action,InteractAction,CommunicateAction,"
160,CheckOutAction,"Thing,Action,InteractAction,CommunicateAction,"
161,CommentAction,"Thing,Action,InteractAction,CommunicateAction,"
162,ConfirmAction,"Thing,Action,InteractAction,CommunicateAction,InformAction,"
163,RsvpAction,"Thing,Action,InteractAction,CommunicateAction,InformAction,"
164,InviteAction,"Thing,Action,InteractAction,CommunicateAction,"
165,ReplyAction,"Thing,Action,InteractAction,CommunicateAction,"
166,ShareAction,"Thing,Action,InteractAction,CommunicateAction,"
167,FollowAction,"Thing,Action,InteractAction,"
168,JoinAction,"Thing,Action,InteractAction,"
169,LeaveAction,"Thing,Action,InteractAction,"
170,MarryAction,"Thing,Action,InteractAction,"
171,RegisterAction,"Thing,Action,InteractAction,"
172,SubscribeAction,"Thing,Action,InteractAction,"
173,UnRegisterAction,"Thing,Action,InteractAction,"
174,ArriveAction,"Thing,Action,MoveAction,"
175,DepartAction,"Thing,Action,MoveAction,"
176,TravelAction,"Thing,Action,MoveAction,"
177,AcceptAction,"Thing,Action,OrganizeAction,AllocateAction,"
178,AssignAction,"Thing,Action,OrganizeAction,AllocateAction,"
179,AuthorizeAction,"Thing,Action,OrganizeAction,AllocateAction,"
180,RejectAction,"Thing,Action,OrganizeAction,AllocateAction,"
181,ApplyAction,"Thing,Action,OrganizeAction,"
182,BookmarkAction,"Thing,Action,OrganizeAction,"
183,CancelAction,"Thing,Action,OrganizeAction,PlanAction,"
184,ReserveAction,"Thing,Action,OrganizeAction,PlanAction,"
185,ScheduleAction,"Thing,Action,OrganizeAction,PlanAction,"
186,ExerciseAction,"Thing,Action,PlayAction,"
187,PerformAction,"Thing,Action,PlayAction,"
188,SearchAction,"Thing,Action,"
189,BuyAction,"Thing,Action,TradeAction,"
190,DonateAction,"Thing,Action,TradeAction,"
191,OrderAction,"Thing,Action,TradeAction,"
192,PayAction,"Thing,Action,TradeAction,"
193,QuoteAction,"Thing,Action,TradeAction,"
194,RentAction,"Thing,Action,TradeAction,"
195,SellAction,"Thing,Action,TradeAction,"
196,TipAction,"Thing,Action,TradeAction,"
197,BorrowAction,"Thing,Action,TransferAction,"
198,DownloadAction,"Thing,Action,TransferAction,"
199,GiveAction,"Thing,Action,TransferAction,"
200,LendAction,"Thing,Action,TransferAction,"
201,ReceiveAction,"Thing,Action,TransferAction,"
